Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,NET,"2023-06-01, 13:30:35",100.0,70.8,69.65,-7080.0,-1.076,7081.076,0.0,-115.0,O,2023-06-01,82.46,1.3523,5838.168,95.74284,69.6500015258789
Trades,Data,Order,Stocks,USD,NVDA,"2023-06-07, 14:34:56",400.0,38.0,374.75,-15200.0,-1.0784,15201.0784,0.0,-210.0,O,2023-06-07,82.5,1.3466,3135.0,51.1708,37.45194625854492
Trades,Data,Order,Stocks,USD,SPY,"2023-07-17, 12:45:30",10.0,450.3,450.84,-4503.0,-1.0796,4504.0796,0.0,5.4,O,2023-07-17,82.02,1.3214,36933.606,595.02642,439.1512145996094
Trades,Data,Order,Stocks,USD,MSFT,"2023-07-20, 12:54:31",30.0,348.24,346.87,-10447.2,-1.0788,10448.2788,0.0,-41.1,O,2023-07-20,81.97,1.3224,28545.2328,460.512576,341.558837890625
Trades,Data,Order,Stocks,USD,AMZN,"2023-07-21, 13:57:21",50.0,130.478,130.0,-6523.9,-1.078,6524.978,0.0,-23.9,O,2023-07-21,81.97,1.3299,10695.28166,173.52269220000002,130.0
Trades,Data,Order,Stocks,USD,GOOG,"2023-07-31, 13:11:02",50.0,132.66,133.11,-6633.0,-1.078,6634.078,0.0,22.5,O,2023-07-31,82.26,1.3299,10912.6116,176.424534,132.32345581054688
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-04, 14:32:12",200.0,44.9,446.8,-8980.0,-1.0792,8981.0792,0.0,-44.0,O,2023-08-04,82.89,1.343,3721.761,60.3007,44.65251541137695
Trades,Data,Order,Stocks,USD,SPY,"2023-08-18, 13:06:42",10.0,436.0,436.5,-4360.0,-1.0796,4361.0796,0.0,5.0,O,2023-08-18,83.08,1.3574,36222.88,591.8263999999999,425.1829833984375
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-200.0,50.2,471.63,10040.0,-1.16242,-7600.5392,2438.29838,607.4,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-200.0,50.2,471.63,10040.0,-1.16242,-7600.5392,2438.29838,607.4,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-200.0,50.2,471.63,10040.0,-1.16242,-7600.5392,2438.29838,607.4,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-200.0,50.2,471.63,10040.0,-1.16242,-7600.5392,2438.29838,607.4,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-300.0,50.2,471.63,15060.0,-1.20363,-12091.0788,2967.71757,911.1,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-300.0,50.2,471.63,15060.0,-1.20363,-12091.0788,2967.71757,911.1,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-300.0,50.2,471.63,15060.0,-1.20363,-12091.0788,2967.71757,911.1,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-300.0,50.2,471.63,15060.0,-1.20363,-12091.0788,2967.71757,911.1,C,2023-08-24,82.58,1.3543,4145.5160000000005,67.98586,47.133995056152344
Trades,Data,Order,Stocks,USD,GPRO,"2023-08-24, 09:39:55",,3.9,3.81,-9750.0,-13.4,9763.4,0.0,-225.0,O;P,2023-08-24,82.58,1.3543,322.062,5.28177,3.809999942779541
Trades,Data,Order,Stocks,USD,SPY,"2023-08-25, 14:45:37",10.0,439.9793,439.97,-4399.793,-1.0796,4400.8726,0.0,-0.093,O,2023-08-25,82.62,1.3546,36351.089766000005,595.99595978,428.56304931640625
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-28, 09:53:46",300.0,45.171,468.35,-13551.3,-1.0788,13552.3788,0.0,499.2,O,2023-08-28,82.62,1.3563,3732.02802,61.2654273,46.80619430541992
Trades,Data,Order,Stocks,USD,SE,"2023-08-28, 11:19:31",200.0,37.0,36.9,-7400.0,-1.072,7401.072,0.0,-20.0,O,2023-08-28,82.62,1.3563,3056.94,50.1831,36.900001525878906
Trades,Data,Order,Stocks,USD,NVDA,"2023-09-07, 13:28:14",200.0,45.6,462.41,-9120.0,-1.0792,9121.0792,0.0,128.2,O,2023-09-07,83.19,1.3644,3793.464,62.216640000000005,46.216365814208984
