Symbol,Price,Date
NET,191.25,2025-07-17
NVDA,173.0,2025-07-17
SPY,628.0399780273438,2025-07-17
MSFT,511.70001220703125,2025-07-17
AMZN,223.8800048828125,2025-07-17
GOOG,184.6999969482422,2025-07-17
GPRO,0.7839999794960022,2025-07-17
SE,167.0800018310547,2025-07-17
TSLA,319.4100036621094,2025-07-17
MARA,19.969999313354492,2025-07-17
NU,13.989999771118164,2025-07-17
IBIT,67.6500015258789,2025-07-17
C6L,,2025-07-17
AAPL,210.02000427246094,2025-07-17
AXP,315.3500061035156,2025-07-17
CMG,53.540000915527344,2025-07-17
GOOGL,183.5800018310547,2025-07-17
ORCL,248.75,2025-07-17
