Date,USDINR,USDSGD
2023-06-01,82.46,1.3523
2023-06-07,82.5,1.3466
2023-07-17,82.02,1.3214
2023-07-20,81.97,1.3224
2023-07-21,81.97,1.3299
2023-07-31,82.26,1.3299
2023-08-04,82.89,1.343
2023-08-18,83.08,1.3574
2023-08-24,82.58,1.3543
2023-08-25,82.62,1.3546
2023-08-28,82.62,1.3563
2023-09-07,83.19,1.3644
2023-09-15,83.15,1.3627
2023-09-19,83.21,1.3625
2023-10-12,83.24,1.3627
2023-10-16,83.25,1.369
2023-10-17,83.22,1.3692
2023-10-23,83.14,1.3722
2023-10-26,83.24,1.3713
2023-10-30,83.26,1.3657
2023-11-02,83.2,1.3622
2023-11-07,83.27,1.3553
2023-11-09,83.29,1.3584
2023-11-15,83.08,1.3475
2023-11-28,83.35,1.3362
2023-12-21,83.25,1.3291
2024-01-08,83.11,1.3311
2024-01-09,83.11,1.3306
2024-01-23,83.12,1.34
2024-01-25,83.13,1.3395
2024-01-26,83.13,1.3403
2024-01-30,83.13,1.34
2024-01-31,83.05,1.3396
2024-02-01,82.98,1.3408
2024-02-02,82.91,1.3354
2024-02-05,83.05,1.3469
2024-02-08,82.99,1.3468
2024-02-12,83.01,1.3445
2024-02-13,83.0,1.3444
2024-02-14,83.04,1.3489
2024-02-15,83.05,1.3471
2024-02-16,83.01,1.3466
2024-02-20,82.95,1.3447
2024-02-21,82.92,1.3437
2024-02-22,82.88,1.3419
2024-02-23,82.91,1.3433
2024-02-26,82.88,1.3437
2024-02-27,82.89,1.3434
2024-02-28,82.9,1.3466
2024-03-05,82.91,1.3437
2024-03-06,82.82,1.3406
2024-03-07,82.72,1.3354
2024-03-08,82.73,1.3317
2024-03-11,82.75,1.3303
2024-03-14,82.86,1.3334
2024-03-18,82.89,1.3381
2024-03-19,83.02,1.3419
2024-03-20,83.22,1.3444
2024-03-21,83.12,1.3403
2024-03-22,83.54,1.3483
2024-03-25,83.41,1.345
2024-03-27,83.33,1.3486
2024-03-28,83.38,1.3493
2024-04-01,83.38,1.3493
2024-04-08,83.3,1.3496
2024-04-11,83.36,1.3532
2024-04-19,83.47,1.3621
2024-04-22,83.36,1.3629
2024-04-23,83.33,1.3625
2024-04-24,83.32,1.3613
2024-04-29,83.45,1.3599
2024-04-30,83.43,1.3615
2024-05-01,83.43,1.3615
2024-05-06,83.51,1.35
2024-05-08,83.5,1.3564
2024-05-20,83.3,1.3468
2024-05-22,83.3,1.3496
2024-05-28,83.18,1.3471
2024-05-29,83.38,1.3495
2024-05-30,83.28,1.3511
2024-05-31,83.42,1.3512
2024-06-03,83.12,1.3501
2024-06-04,83.47,1.3474
2024-06-05,83.43,1.3481
2024-06-07,83.4,1.3446
2024-06-21,83.57,1.3537
2024-06-25,83.43,1.3533
2024-07-01,83.44,1.3557
2024-07-02,83.46,1.3579
2024-07-03,83.51,1.3565
2024-07-10,83.51,1.3492
2024-07-15,83.59,1.3423
2024-07-22,83.66,1.3453
2024-07-23,83.71,1.3458
2024-07-24,83.71,1.3438
2024-07-31,83.69,1.3383
2024-08-01,83.74,1.3381
2024-08-05,84.15,1.32
2024-08-06,83.91,1.3271
2024-08-13,83.94,1.3223
2024-08-14,83.95,1.3154
2024-08-15,83.95,1.3173
2024-08-16,83.94,1.3186
2024-08-19,83.88,1.31
2024-08-20,83.76,1.3076
2024-08-21,83.9,1.307
2024-08-22,83.95,1.3083
2024-08-23,83.9,1.3084
2024-08-26,83.9,1.3031
2024-08-27,83.92,1.3037
2024-08-28,83.98,1.3037
2024-08-29,83.89,1.3016
2024-08-30,83.84,1.3025
2024-09-03,83.98,1.3097
2024-09-04,83.98,1.3068
2024-09-10,83.97,1.3051
2024-09-13,83.92,1.2999
2024-09-16,83.86,1.2949
2024-09-17,83.76,1.2934
2024-09-18,83.72,1.294
2024-09-19,83.65,1.2921
2024-09-20,83.53,1.292
2024-09-23,83.55,1.2912
2024-09-24,83.67,1.2882
2024-09-25,83.6,1.2844
2024-09-26,83.64,1.2844
2024-09-27,83.69,1.282
2024-09-30,83.79,1.281
2024-10-04,83.97,1.2979
2024-10-07,84.0,1.3025
2024-10-08,83.96,1.3028
2024-10-11,84.07,1.3058
2024-10-14,84.04,1.308
2024-10-15,84.03,1.3089
2024-10-16,84.01,1.309
2024-10-17,84.04,1.3124
2024-10-21,84.07,1.3126
2024-10-22,84.07,1.3151
2024-10-23,84.09,1.3223
2024-10-24,84.07,1.3192
2024-10-28,84.08,1.3221
2024-10-29,84.06,1.3261
2024-11-04,84.12,1.3166
2024-11-06,84.32,1.3353
2024-11-07,84.32,1.322
2024-11-11,84.4,1.3329
2024-11-12,84.38,1.3379
2024-11-13,84.38,1.3373
2024-11-14,84.46,1.3458
2024-11-15,84.43,1.3405
2024-11-18,84.42,1.3444
2024-11-20,84.36,1.3419
2024-11-21,84.48,1.3437
2024-11-25,84.29,1.3462
2024-11-26,84.3,1.3451
2024-11-27,84.41,1.3434
2024-12-02,84.71,1.3456
2024-12-03,84.68,1.3451
2024-12-04,84.76,1.3472
2024-12-05,84.68,1.3409
2024-12-06,84.69,1.3396
2024-12-09,84.87,1.3396
2024-12-12,84.87,1.3448
2024-12-16,84.89,1.3501
2024-12-18,84.95,1.3507
2024-12-19,85.12,1.3594
2024-12-24,85.17,1.3592
2025-01-02,85.76,1.3653
2025-01-06,85.61,1.3589
2025-01-07,85.74,1.3615
2025-01-08,85.89,1.3704
2025-01-10,86.02,1.3676
2025-01-13,86.7,1.3738
2025-01-14,86.57,1.37
2025-01-15,86.42,1.3679
2025-01-16,86.58,1.3689
2025-01-17,86.62,1.3675
2025-01-22,86.38,1.3527
2025-01-23,86.44,1.3566
2025-01-24,86.26,1.3492
2025-01-27,86.31,1.3423
2025-01-30,86.61,1.3504
2025-02-03,87.06,1.365
2025-02-05,87.37,1.3484
2025-02-10,87.47,1.3539
2025-02-21,86.63,1.3372
2025-04-21,85.4,1.3121
2025-04-22,85.2,1.308
2025-04-24,85.34,1.3119
2025-04-28,85.02,1.3139
2025-04-30,84.53,1.3065
2025-05-12,84.86,1.3062
2025-05-13,85.34,1.305
2025-05-14,85.39,1.2986
2025-05-15,85.52,1.2989
2025-05-21,85.57,1.2899
2025-05-22,85.98,1.2911
2025-05-23,85.43,1.2879
2025-05-27,85.4,1.2877
2025-05-29,85.47,1.2895
2025-06-03,85.62,1.2888
2025-06-09,85.66,1.2862
2025-06-10,85.58,1.2858
2025-06-11,85.54,1.287
2025-06-12,85.54,1.2789
2025-07-02,85.67,1.2745
2025-07-09,85.72,1.2813
2025-07-10,85.76,1.2801
2025-07-14,86.01,1.2808
2025-07-15,85.86,1.282
2025-07-16,85.99,1.2851
2025-07-17,86.08,1.2872
